"Index","GDP_Q_DIRI_SA"
"1995 Q1",101.6
"1995 Q2",101
"1995 Q3",100.6
"1995 Q4",99.2
"1996 Q1",97.9
"1996 Q2",96.6
"1996 Q3",95.7
"1996 Q4",96.3
"1997 Q1",97.1
"1997 Q2",97.3
"1997 Q3",98.4
"1997 Q4",99.1
"1998 Q1",97.1
"1998 Q2",93.7
"1998 Q3",91.2
"1998 Q4",91.2
"1999 Q1",94.2
"1999 Q2",97.5
"1999 Q3",99.9
"1999 Q4",102.6
"2000 Q1",105.5
"2000 Q2",107.9
"2000 Q3",109.5
"2000 Q4",110.4
"2001 Q1",111.4
"2001 Q2",113
"2001 Q3",114.5
"2001 Q4",115.3
"2002 Q1",116.1
"2002 Q2",118
"2002 Q3",120.2
"2002 Q4",122.4
"2003 Q1",124.7
"2003 Q2",127.2
"2003 Q3",129.6
"2003 Q4",131.7
"2004 Q1",133.9
"2004 Q2",136.3
"2004 Q3",138.6
"2004 Q4",141
"2005 Q1",123.2
"2005 Q2",125.3
"2005 Q3",127.6
"2005 Q4",130
"2006 Q1",132.6
"2006 Q2",135.4
"2006 Q3",138.1
"2006 Q4",140.9
"2007 Q1",143.8
"2007 Q2",146.7
"2007 Q3",149.8
"2007 Q4",153.6
"2008 Q1",157.6
"2008 Q2",159.7
"2008 Q3",157.4
"2008 Q4",151
"2009 Q1",144.1
"2009 Q2",144.2
"2009 Q3",144.5
"2009 Q4",146.1
"2010 Q1",148.8
"2010 Q2",150.6
"2010 Q3",151.2
"2010 Q4",152.5
"2011 Q1",154.4
"2011 Q2",156.4
"2011 Q3",158.1
"2011 Q4",159.9
"2012 Q1",161.7
"2012 Q2",162.7
"2012 Q3",162.9
"2012 Q4",163.1
"2013 Q1",163.6
"2013 Q2",164.4
"2013 Q3",164.8
"2013 Q4",165.2
"2014 Q1",165.7
"2014 Q2",165.9
"2014 Q3",165.9
"2014 Q4",164.5
"2015 Q1",161.9
"2015 Q2",160.6
"2015 Q3",160.3
"2015 Q4",159.6
